,participant,config,average,std
62,PN-MBPS,ch150_n1490_uncorr,0.7994715007426014,0.019346339833180994
63,PN-MBPS,ch150_n149_bounded-strongly-corr,0.5731063552729403,0.03413179184799059
64,PN-MBPS,ch150_n149_uncorr-similar-weights,0.5837540975344575,0.019976632454296685
65,PN-MBPS,ch150_n149_uncorr,0.5542744837131289,0.011187451277437572
66,PN-MBPS,ch150_n447_bounded-strongly-corr,0.801799919112985,0.018902216876457857
67,PN-MBPS,ch150_n447_uncorr-similar-weights,0.7890251762324791,0.009181608902101015
68,PN-MBPS,ch150_n447_uncorr,0.7217181727199186,0.01485838888305825
69,PN-MBPS,ch150_n745_bounded-strongly-corr,0.8389346806126833,0.024272395831965603
70,PN-MBPS,ch150_n745_uncorr-similar-weights,0.8232891055341179,0.01407296995735412
71,PN-MBPS,ch150_n745_uncorr,0.782857106625392,0.01767694442134551
72,AM-MBPS,ch150_n1490_bounded-strongly-corr,0.8687903300343528,0.019617448975108278
73,AM-MBPS,ch150_n1490_uncorr-similar-weights,0.8653946647482824,0.018821992382146626
74,AM-MBPS,ch150_n1490_uncorr,0.8307182794238195,0.014477723574429505
75,AM-MBPS,ch150_n149_bounded-strongly-corr,0.5550641090865097,0.05808869643766327
76,AM-MBPS,ch150_n149_uncorr-similar-weights,0.6051082875753757,0.021432020484865838
77,AM-MBPS,ch150_n149_uncorr,0.5855860788261273,0.01483038078291826
78,AM-MBPS,ch150_n447_bounded-strongly-corr,0.7765463676757387,0.02761811568479933
79,AM-MBPS,ch150_n447_uncorr-similar-weights,0.7950027795259569,0.02177676969127394
80,AM-MBPS,ch150_n447_uncorr,0.7405193520586881,0.015237685774786607
81,AM-MBPS,ch150_n745_bounded-strongly-corr,0.810894742342354,0.008094612712826632
82,AM-MBPS,ch150_n745_uncorr-similar-weights,0.8325758428520871,0.02130754680727064
83,AM-MBPS,ch150_n745_uncorr,0.8116437643196562,0.015450705761125635
