,participant,config,average,std
62,PN-MBPS,eil76_n225_uncorr,0.8432427617023404,0.015210595119577267
63,PN-MBPS,eil76_n375_bounded-strongly-corr,0.8916711298423557,0.01969852907809534
64,PN-MBPS,eil76_n375_uncorr-similar-weights,0.8792709622493791,0.017554332057806113
65,PN-MBPS,eil76_n375_uncorr,0.8665354114337618,0.012718711480479018
66,PN-MBPS,eil76_n750_bounded-strongly-corr,0.9016264750811545,0.021131153488395105
67,PN-MBPS,eil76_n750_uncorr-similar-weights,0.8974971920393265,0.03466571830693766
68,PN-MBPS,eil76_n750_uncorr,0.8600561894962832,0.01977009327853707
69,PN-MBPS,eil76_n75_bounded-strongly-corr,0.6787900138629887,0.068086853724136
70,PN-MBPS,eil76_n75_uncorr-similar-weights,0.6122663496801428,0.06894336945034503
71,PN-MBPS,eil76_n75_uncorr,0.6562412160809333,0.038707333709829886
72,AM-MBPS,eil76_n225_bounded-strongly-corr,0.8510335815155916,0.016427740054300595
73,AM-MBPS,eil76_n225_uncorr-similar-weights,0.8467214127595118,0.023910435195730124
74,AM-MBPS,eil76_n225_uncorr,0.8517430156919461,0.010596530099178996
75,AM-MBPS,eil76_n375_bounded-strongly-corr,0.8860696974466812,0.009369471945966311
76,AM-MBPS,eil76_n375_uncorr-similar-weights,0.9001608907075207,0.020298043158475314
77,AM-MBPS,eil76_n375_uncorr,0.8658448122543746,0.008469914009934604
78,AM-MBPS,eil76_n750_bounded-strongly-corr,0.9005042458468289,0.01441595063266464
79,AM-MBPS,eil76_n750_uncorr-similar-weights,0.9164792407068413,0.021003121952797636
80,AM-MBPS,eil76_n750_uncorr,0.8988012492674692,0.011927557019007912
81,AM-MBPS,eil76_n75_bounded-strongly-corr,0.6538024580967768,0.08562437469805496
82,AM-MBPS,eil76_n75_uncorr-similar-weights,0.6008443113954683,0.07012152999435971
83,AM-MBPS,eil76_n75_uncorr,0.6565269399679783,0.03325386060039648
